model_type nonlinearity gain lr P L n_epochs hidden_layer dx2 dy2 in_dim out_dim
default MLP leaky_relu 1.0 0.01 50 20 3000 10 1 0.5 1 1


gain_0.6 MLP leaky_relu 0.8 0.02 50 20 50000 10 1 0.5 1 1
gain_0.9 MLP leaky_relu 0.9 0.03 50 20 3000 10 1 0.5 1 1
gain_1.1 MLP leaky_relu 1.1 0.005 50 20 3000 10 1 0.5 1 1
gain_1.2 MLP leaky_relu 1.2 0.0025 50 20 3000 10 1 0.5 1 1
gain_1.3 MLP leaky_relu 1.3 0.0015 50 20 3000 10 1 0.5 1 1
gain_1.4 MLP leaky_relu 1.4 0.001 50 20 3000 10 1 0.5 1 1
lazy MLP leaky_relu 1.6 0.0001 50 20 3000 10 1 0.5 1 1

shallow MLP leaky_relu 0.35 0.02 50 2 3000 1 1 0.5 1 1
wide MLP leaky_relu 1.0 0.01 500 20 3000 10 1 0.5 1 1
narrow MLP leaky_relu 1.05 0.01 10 20 3000 10 1 0.5 1 1
low_par MLP leaky_relu 1.0 0.003 2 2 3000 1 1 0.5 1 1

linear MLP none 0.85 0.002 50 20 3000 10 1 0.5 1 1
elu MLP elu 0.95 0.0009 50 20 3000 10 1 0.5 1 1
tanh MLP tanh 0.85 0.002 50 20 3000 10 1 0.5 1 1
relu MLP relu 1.0 0.01 50 20 3000 10 1 0.5 1 1
swish MLP silu 1.8 0.002 50 20 3000 10 1 0.5 1 1
softplus MLP softplus 1.6 0.00004 50 20 10000 10 1 0.5 1 1

skip ResNet leaky_relu 0.65 0.005 50 20 3000 10 1 0.5 1 1
cnn CNN leaky_relu 1.2 0.004 500 20 3000 10 1 0.5 1 1

early_layer MLP leaky_relu 1.0 0.01 50 20 3000 4 1 0.5 1 1
late_layer MLP leaky_relu 1.0 0.01 5 20 3000 16 1 0.5 1 1

dist_inputs MLP leaky_relu 1.0 0.01 50 20 3000 10 100 1 1 1
high_dim MLP leaky_relu 1.1 0.01 50 20 3000 10 1 0.5 4 1
same_outputs MLP leaky_relu 1.75 0.000003 50 20 3000 10 4 0 1 1

discontinuous MLP discontinuous 1.0 0.01 50 20 3000 10 1 0.5 1 1
