model_type nonlinearity gain lr P L n_epochs hidden_layer dx2 dy2 in_dim out_dim
two_layer MLP relu 0.000001 0.02 100 1 50000 0 0 0 0 0
high_init_deep MLP leaky_relu 2.0 0.0000015 100 10 750 5 0 0 0 0
low_init_deep MLP leaky_relu 0.4 0.0000015 100 10 1500 5 0 0 0 0

high_init_default MLP leaky_relu 2.0 0.0000015 100 4 750 2 0 0 0 0
low_init_default MLP leaky_relu 0.4 0.0000015 100 4 1500 2 0 0 0 0

high_init_tanh MLP tanh 2.5 0.0000015 100 4 750 2 0 0 0 0
low_init_tanh MLP tanh 0.5 0.0000015 100 4 1500 2 0 0 0 0

high_init_skip ResNet tanh 2.0 0.0000015 100 4 750 2 0 0 0 0
low_init_skip ResNet tanh 0.4 0.0000015 100 4 1500 2 0 0 0 0

high_init_cnn CNN leaky_relu 2.0 0.00001 100 4 750 2 0 0 0 0
low_init_cnn CNN leaky_relu 0.4 0.00001 100 8 1500 4 0 0 0 0
